Sample Coleosporium_tussilaginis Dothistroma_septosporum Gremmenia_infestans Lophodermella_sulcigena Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
44 BE4-7267-T1-ITS 0 0.0169221585317227 0.000566991419068889 0 0.000387213652047046 0 0 0 0
45 BE4-7607-T1-ITS 0 0.0368562205913055 0.000248920008350865 0 5.6207743821163e-05 0 0 0.00052995872745668 0
46 BE4-7663-T1-ITS 0 0.00244063371338163 0 0.000354743272293841 0 0 0 0 0
47 BE5-7132-T1-ITS 0 0.0084267453294002 0 0 9.83284169124877e-05 0 0 0 0
48 BE5-7146-T1-ITS 0 0.00445919319713782 0.000103702167375298 0 0.000200490856925576 0 0 0 0
49 BE5-7334-T1-ITS 0 0.0134174132629614 0 0 6.6329020367747e-05 0 0 3.31645101838735e-05 0
50 BE5-7509-T1-ITS 0 0.0840635184160364 0 0 0.000184467810367091 0 0 0 0
51 BE7-7019-T1-ITS 0 0.00551122612800422 0 0 0.000196487192389716 0 0 0 0
52 BE7-7378-T1-ITS 0 0.0265321829302872 0 0 0.000210637177461822 0 0 0.00213067606432535 0
53 BE7-7455-T1-ITS 0 0.0152342316055007 0 0 0.00036238363720221 0 0 4.23565290236349e-05 0
54 BE7-7585-T1-ITS 0 0.0280957293171034 0.000146482360222818 0 0.000239323292758407 0 0 0.000175366205900557 0
55 BW10-7357-T1-ITS 0 0.00275042005945457 0 0 0 0 0 0.000527336176812718 0
56 BW10-7396-T1-ITS 2.19972796697475e-05 0.00239403727072419 0.000102653971792155 0 0.00046927529962128 0.000612257617474639 0 0 0
57 BW10-7534-T1-ITS 0 0.022578364771199 0.000844856719197214 0 0 0 0 0 0
58 BW10-7633-T1-ITS 0 0.00358055853487416 0.000169350741514318 0 0.000209672346636775 0 0 1.61286420489827e-05 0
59 BW2-7025-T1-ITS 0 0.000236914693787758 0 0 0.000304604606298546 0 5.92286734469396e-05 0 0
60 BW2-7261-T1-ITS 0 0.00230942554796157 0.000196746192726949 0 0.00020611505904728 0 0 0 0
61 BW2-7362-T1-ITS 0 0.0104421073618103 0 0 0 0 0 0 0
62 BW2-7628-T1-ITS 0 0.00323624595469256 0.000527222044611959 1.68262354663391e-05 0 0 0 0 0
63 BW3-7101-T1-ITS 0 0.00321533121110809 0 0 0.000407915153648041 0 0 0 0
64 BW3-7429-T1-ITS 0 0.000416353282475556 0.000241753518856774 0 0 0 0 0 0
65 BW3-7594-T1-ITS 0 0.0308783440373331 0.000198678556577184 0 7.39269047729058e-05 0 0 0 0
66 BW6-7035-T1-ITS 0 0.0102138623275644 0 0 0.000375735175713705 0 0 0 0
67 BW6-7173-T1-ITS 0 0.0194500676479863 8.13810361840432e-05 0 3.05178885690162e-05 0 0 0 0
68 BW6-7284-T1-ITS 0 0.0247948437995281 0 0 0.000607544112985595 0 0 0.000184904730039094 0
69 BW6-7567-T1-ITS 0 0.0099949412107369 0.00105008201370472 0 0 0 1.53296644336455e-05 0 0
70 BW7-7366-T1-ITS 0 0.000920060331825038 0.000120663650075415 0 4.52488687782805e-05 0 0 0 0
71 BW7-7506-T1-ITS 0 0.0333326854677266 0 0 0.000563643077879925 0 0.000252667586635828 0 0
72 BW7-7581-T1-ITS 0 0.0130790335899417 0 0 4.439590492173e-05 0 0 0.000466157001678165 0
73 BW7-7593-T1-ITS 0 0.00526795772758972 0 0 6.43742288503836e-05 0 0 0 0
74 CG2-7072-T1-ITS 0 0.0339231113960098 0.000856586926554762 0 0.000391420516107805 2.26910444120467e-05 6.807313323614e-05 0 0
75 CG2-7148-T1-ITS 0 0.00609882771924618 0 0 0.00179551862294109 0 0 0 0
76 CG2-7160-T1-ITS 0 0.0476156926292552 0 0 0 0 4.69698570942098e-05 0 0
77 CG2-7208-T1-ITS 0 0.00214925538700463 0.000452961350379471 0 0.000147905747062684 0 0 0 0
78 CG3-7376-T1-ITS 0 0.0449116528740774 0 0 0.000954298069037501 0 0 0 0
79 CG3-7382-T1-ITS 0 0.0194318042061247 0 0 0.000245972205140819 0 0 0 7.6866314106506e-05
80 CG3-7651-T1-ITS 0 0.000252451022772466 5.53317310186226e-05 0 6.22481973959504e-05 0 0 0 0
81 CG4-7097-T1-ITS 0 0.0028642894621461 8.26582906265498e-05 0 0 0 0 0 0
82 CG4-7218-T1-ITS 0 0.0393225127060396 0 0 0 0.000100891629778165 0 0 0
83 CG4-7406-T1-ITS 0 0.0141223562171127 0 0 0.000342949571057104 2.55932515714256e-05 0 0.000604000737085645 0
84 CG4-7425-T1-ITS 0 0.00048362857325574 6.79478160772527e-05 0 0.000123904841082049 2.39815821449127e-05 0 4.396623393234e-05 0
85 CG7-7197-T1-ITS 0 0.00246309409991736 0.000129636531574598 0 0 0 0 0.00013773881479801 0.000113431965127773
86 CG7-7434-T1-ITS 0 0.0377989599802597 0.000374699554930041 0 0 0 0 0 0
87 CG7-7574-T1-ITS 0 0.0161000915471468 0 0 0 0 0 0.000451632590784254 0
88 CG7-7655-T1-ITS 0 0.000632087748652166 0 0 0 0 0 0.000118981223275702 0
89 CG8-7084-T1-ITS 0 0.0124721497609439 0 0 0.000372658003028837 1.58577873629293e-05 0 3.17155747258585e-05 0
90 CG8-7522-T1-ITS 0 0.0126938282950179 0.000146428409131074 0 5.55418103600624e-05 0 0 0 0
91 CG8-7544-T1-ITS 0 0.0188578789179906 0.00038643194504079 0 0.00055817947617003 0 0 0.000103048518677544 0
92 CR10-7348-T1-ITS 0 0.00779229634102985 0 0 0.000248379445870326 0.00010714407468916 0 0 0
93 CR10-7431-T1-ITS 0 0.00383568359130544 0.000106908924026868 0 0.000469356251825274 0.000260753473236264 0 0.000325941841545329 0
94 CR10-7497-T1-ITS 0 0.00841759779906846 3.37862296980959e-05 0 0.000154451335762724 0 0 0.00110046576730941 0
95 CR10-7549-T1-ITS 0 0.00792527867535994 0.000291581422917344 0 0.000129060629815874 0 0 0 0.000148180723121929
