Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
23 BB2-7055-T3-ITS 0 0 0.15166154114322 0 0 0.00143805172005927 0.00570240422326531 0 0.000610082547903931 0
24 BB2-7542-T3-ITS 0 0 0.0422088484059857 0 0 0.000755181708337206 0.000121990891346779 0 0.000261409052885956 0
25 BB2-7590-T3-ITS 0 0 0.0810054952243883 0.000167637053513018 0 0.000294387020803349 0.000114483841423525 0 0.00174587858170875 0
26 BB3-7126-T3-ITS 0 0 0.0532427808595573 1.55529058012339e-05 0 0.00040437555083208 0 0 0.000108870340608637 0
27 BB3-7657-T3-ITS 0 0 0.323035697368599 4.06010763796471e-05 0 0.000793976604757544 0 0 0.183900319846257 0
28 BB5-7171-T3-ITS 0 0 0.0403502424861355 5.4954364979415e-05 0 0.00173106249685157 0 0 0.000664031910167931 0
29 BB5-7326-T3-ITS 0 0 0.177471006495269 3.10160068441988e-05 0 0.00426728560831436 2.06773378961326e-05 0 0.000338591408049171 0
30 BB5-7412-T3-ITS 0 0 0.194042528685987 0 0 0.000575879295699621 2.87939647849811e-05 0 6.23869237007923e-05 0
31 BB5-7600-T3-ITS 0 0 0.202147505655563 0 0 0.00032700410631386 0 0 0.000300200491042232 0
32 BB7-7181-T3-ITS 0 0 0.0274328559527115 1.98357599079621e-05 0 0.000182929785817872 8.81589329242759e-06 0.000160890052586803 0.000158686079263697 0
33 BB7-7224-T3-ITS 0 0 0.14988635876324 0 0 0.0032505682061838 0 0 0.00030447274754492 0
34 BB7-7227-T3-ITS 0 0 0.168358105538254 0 0 0.00110712362503907 0 0 0.000154394791246945 0
35 BB7-7268-T3-ITS 0 0 0.0299339819860237 2.18086879581772e-05 0 0.00156399447928642 2.18086879581772e-05 0 8.72347518327087e-05 0
36 BE2-7069-T3-ITS 0.000580208667903064 0 0.16101826621217 0 0 0.000973921692551571 7.77065180227317e-05 0 0.00109307168685309 0
37 BE2-7141-T3-ITS 0 0 0.120357360961048 8.54113195621816e-05 0 0.000990771306921306 2.56233958686545e-05 0 0.000251963392708436 0
38 BE2-7500-T3-ITS 0 0 0.253908828290598 0.000125211294058724 0 0.00175832431513894 0 0 0.031168668556761 0
39 BE2-7510-T3-ITS 0 0 0.365436168671207 6.03777230353089e-05 0 0.000525286190407187 4.22644061247162e-05 0 0.00444380041539873 0
40 BE3-7156-T3-ITS 0 0 0.254021025267551 3.59238805628945e-05 0 0.00783140596271101 0 0 0.127007246826452 0
41 BE3-7237-T3-ITS 0 0 0.183168400479873 9.57492945529916e-05 0 0.00112082997741443 2.81615572214681e-05 0 0.00532816662630177 0
42 BE3-7245-T3-ITS 0 0 0.312806507401233 1.73290403524034e-05 0 0.00104320822921468 5.19871210572101e-05 0 0.00170171176260601 0
43 BE3-7514-T3-ITS 0 0 0.371440740214929 0 0 0.000925885918509694 0 0 0.00408624318702278 0
44 BE4-7003-T3-ITS 5.13038507204526e-05 0 0.0934353058442415 8.42848976121722e-05 0 0.00244792659151874 0 0 0.000106272262206652 0
45 BE4-7267-T3-ITS 2.53783757205079e-05 0 0.00227453692395052 4.44121575108889e-05 0 0.000329918884366603 0 0 0 0
46 BE4-7607-T3-ITS 0 0 0.144837608907823 0 0 0.00133218399811927 0 0 0.0251903883280735 0
47 BE4-7663-T3-ITS 0 0 0.0801332953888241 0.000160652155951933 0 0.000523267022243439 0 0 0.000160652155951933 0
48 BE5-7132-T3-ITS 0 0 0.216842131256842 0 0 0.0421320799756353 2.88096668779376e-05 0 0.000930140673487698 8.23133339369645e-06
49 BE5-7146-T3-ITS 0 0 0.04464048123987 4.4350189093079e-05 0 0.0156273939022522 0.000161273414883923 0 0.000423342714070299 0
50 BE5-7334-T3-ITS 9.2168932486257e-05 0 0.195671351920735 0 0 0.000454261167253695 3.62092234767438e-05 0.000105335922841437 0.00014812864149577 0
51 BE5-7509-T3-ITS 9.05674047910157e-06 0 0.150758502015125 0 0 0.00154417425168682 2.71702214373047e-05 0 0.000665670425213966 0
52 BE7-7019-T3-ITS 0 0 0.0775478098421906 7.3742687183521e-05 0 0.000958654933385773 7.3742687183521e-05 0 0.000294970748734084 0
53 BE7-7378-T3-ITS 0 0 0.110704386466629 3.07976593778873e-05 0 0.00135069734700163 0 0 0.101399093668881 0
54 BE7-7455-T3-ITS 0 0 0.110469428199735 0 0 0.000607910126566888 2.83691392397881e-05 0 0.000141845696198941 0
55 BE7-7585-T3-ITS 5.65264496679071e-05 0 0.0843406032628323 0 0 0.000986072510873491 0.00016015827405907 0 0 0
56 BW10-7357-T3-ITS 0 0 0.103920080608132 3.50747410846385e-05 0 0.000229580123463089 0 0 5.10178052140197e-05 0
