Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermella_conjuncta Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii
35 BB7-7224-T2-ITS 0 0 0.228782314977666 4.41536842570039e-05 0 7.35894737616731e-05 0.000691741053359727 0 0 0.000721176842864397
36 BB7-7227-T2-ITS 0 0 0.067255594109122 0.000195440522938704 0 0.000153345641074983 0.000156352418350963 0 0 9.02033182794018e-06
37 BB7-7268-T2-ITS 0 0 0.016932775042562 6.27449668079126e-05 0 2.92809845103592e-05 0.00110431141581926 0 0 0
38 BE2-7069-T2-ITS 0 0 0.0775652275652276 0.000105300105300105 0 2.34000234000234e-05 0.000269100269100269 0 0 0.000105300105300105
39 BE2-7141-T2-ITS 0 0 0.12381919844412 7.81412794332153e-05 0 3.47294575258734e-05 0.00052962422726957 0 0 0.000369000486212405
40 BE2-7500-T2-ITS 0 0 0.0702362960297469 0.000340650113949862 0 0.000115149334292911 0.000249490224301307 0 0 0.000676502338970853
41 BE2-7510-T2-ITS 0 0 0.174961640168457 0 0 0.000114263328001045 0.000244849988573667 0 0 0.000767196630864157
42 BE3-7156-T2-ITS 0 0 0.142568844735191 0 0 0 0.000347670408452787 0 0 0
43 BE3-7237-T2-ITS 0 0 0.0871129790853598 0 0 9.20644451115781e-05 0.00118082657860502 0 0 0.00021615130591414
44 BE3-7245-T2-ITS 0 0 0.214903145178088 2.97557056565596e-05 0 8.92671169696789e-05 0.000483530216919094 0 0 0.000535602701818074
45 BE3-7514-T2-ITS 0 0 0.242500023371694 4.67433881477465e-05 0 6.54407434068451e-05 0.000981611151102676 0 0 0.00104705189450952
46 BE4-7003-T2-ITS 0 0 0.118141408853595 2.10332465517161e-05 0 4.67405478927024e-06 0.000109840287547851 1.16851369731756e-05 0 7.01108218390536e-06
47 BE4-7267-T2-ITS 0 0 0.140087844340408 0.000108539135594324 0 9.04492796619368e-05 0.000412448715258432 1.44718847459099e-05 0 0.00315487087460835
48 BE4-7607-T2-ITS 0 0 0.300895905681851 7.29564887501094e-05 0 1.45912977500219e-05 0.00160796101205241 0 3.21008550500482e-05 0.00751160008171127
49 BE4-7663-T2-ITS 0 0 0.062312083931717 0.000134415258254158 0 0.000841863985907621 0.000693299753100394 0 0 0
